CUUEUREURO                                                                  2IEIRELAND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUEUREURO                                                                  2ITITALY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUEUREURO                                                                  2LULUXEMBOURG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CUUEUREURO                                                                  2NLNETHERLANDS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CUUEUREURO                                                                  2PTPORTUGAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUFIMMARKKA                                                                2FIFINLAND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUFJDFIJI DOLLAR                                                           2FJFIJI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CUUFKPFALKLAND ISLANDS POUND                                                2FKFALKLAND  ISLANDS (MALVINAS)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
CUUFRFFRENCH FRANC                                                          2ADANDORRA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUFRFFRENCH FRANC                                                          2FRFRANCE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUFRFFRENCH FRANC                                                          2GFFRENCH GUIANA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CUUFRFFRENCH FRANC                                                          2GPGUADELOUPE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CUUFRFFRENCH FRANC                                                          2MCMONACO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUFRFFRENCH FRANC                                                          2MQMARTINIQUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CUUFRFFRENCH FRANC                                                          2PMSAINT PIERRE AND MIQUELON                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
CUUFRFFRENCH FRANC                                                          2REREUNION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUFRFFRENCH FRANC                                                          2TFFRENCH SOUTHERN TERRITORIES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CUUFRFFRENCH FRANC                                                          2YTMAYOTTE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUGBPPOUND STERLING                                                        2GBUNITED KINGDOM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CUUGBPPOUND STERLING                                                        2GGGUERNSEY, C.I.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CUUGBPPOUND STERLING                                                        2IMISLE OF MAN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CUUGBPPOUND STERLING                                                        2JEJERSEY, C.I.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
CUUGELLARI                                                                  2GEGEORGIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUGHCCEDI                                                                  2GHGHANA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUGIPGIBRALTAR POUND                                                       2GIGIBRALTAR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
CUUGMDDALASI                                                                2GMGAMBIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUGNFGUINEA FRANC                                                          2GNGUINEA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUGRDDRACHMA                                                               2GRGREECE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUGTQQUETZAL                                                               2GTGUATEMALA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
CUUGWPGUINEA-BISSAU PESO                                                    2GWGUINEA-BISSAU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CUUGYDGUYANA DOLLAR                                                         2GYGUYANA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUHKDHONG KONG DOLLAR                                                      2HKHONG KONG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
CUUHNLLEMPIRA                                                               2HNHONDURAS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUHRKKUNA                                                                  2HRCROATIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUHTGGOURDE                                                                2HTHAITI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUHUFFORINT                                                                2HUHUNGARY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUIDRRUPIAH                                                                2IDINDONESIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
CUUIDRRUPIAH                                                                2TPEAST TIMOR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CUUIEPIRISH POUND                                                           2IEIRELAND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUILSNEW ISRAELI SHEKEL                                                    2ILISRAEL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUILSNEW ISRAELI SHEKEL                                                    2PSPALESTINIAN TERRITORY, OCCUPIED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
CUUINRINDIAN RUPEE                                                          2BTBHUTAN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUINRINDIAN RUPEE                                                          2ININDIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUIQDIRAQI DINAR                                                           3IQIRAQ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CUUIRRIRANIAN RIAL                                                          2IRIRAN (ISLAMIC REPUBLIC OF)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CUUISKICELAND KRONA                                                         2ISICELAND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUITLITALIAN LIRA                                                          0ITITALY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUITLITALIAN LIRA                                                          0SMSAN MARINO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CUUITLITALIAN LIRA                                                          0VAHOLY SEE (VATICAN CITY STATE)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CUUJMDJAMAICAN DOLLAR                                                       2JMJAMAICA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUJODJORDANIAN DINAR                                                       3JOJORDAN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUJPYYEN                                                                   0JPJAPAN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUKESKENYAN SHILLING                                                       2KEKENYA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
